,musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time,Lyrics,Avg. Words/Sentence in Song,Avg. Words/Second in Song,Chorus Lyrics,Avg. Words/Sentence in Chorus,Avg. Words/Second in Chorus
0,1,1.mp3,Good Drank,2 Chainz,"Def Jam Presents: Direct Deposit, Vol. 2",32.1,02:35,03:05, uhh yeah alright i did it hahah yeah used to treat my mattress like the atm yeah bond number 9 thats my favorite scent yeah cant forget the kush im talking og yeah rest in peace to pop he was an og oh yeah 285 i had that pack on me uh i cannot forget i had that strap on me yeah rest in peace to my nigga doe doe tru all we ever want to do is ball that was the easy part we playing that weezy hard we sit in the kitchen late we tryna to make an escape trying to make me a mil so ima keep me a plate i told em shawty can leave so imma keep me a rake so ima keep me a wraith my jewelry look like a lake today im in the maybach and that car came with some drapes you know i look like a safe i put you back in your place i look you right in your face sing to your bitch like im drake yeah good drank big knots good drugs i put a four on the rocks lean drop top no hot box 12 tried to pull me over pink slips to the cops she said the molly give her thizz face put the dick in her rib cage whips out kunta kinte diamonds clear like bombay take your babies no harambe play with keys like doc dre 3k like andré and your girl call her cum face its gucci huh brr huh your trunk in the front well check this out my top in the trunk you play with my money then check this out youre poppin the trunk three mil in a month but i just did three years on a bunk oh you in a slump im headed to oakland like kevin da runt what is your point square with the stamp **** kevin durant lay on on my trap play with my cap and ill knock off your hat im taking the cheese and killing the rats gucci mane call me the cat with the racks im swervin but im in back of the bach im persian man i got hoes from iraq im servin i pay a bird for that he nervous aint got no words for that he hurt and want all of his purses back he mixing the syrup with the percocets she perfect and she got perky breasts i just want some of that turkey neck trapper of the year im from bouldercrest you snitch of the year cause you told the bis good drank big knots good drugs i put a four on the rocks lean drop top no hot box 12 tried to pull me over pink slips to the cops she said the molly give her thizz face put the dick in her rib cage whips out kunta kinte diamonds clear like bombay take your babies no harambe play with keys like doc dre 3k like andre and your girl call her cum face aye mike dean this shit hard as **** bruh you a living legend i appreciate that aye guwop im glad you home cuz quavo you already know man you got next on these niggas double salute man true shit 2 chainz hair weave killer daniel son the necklace don chapo jr i mean i can go on for days,6.540229885057471,2.473913043478261, good drank big knots good drugs i put a four on the rocks lean drop top no hot box 12 tried to pull me over pink slips to the cops she said the molly give her thizz face put the dick in her rib cage whips out kunta kinte diamonds clear like bombay take your babies no harambe play with keys like doc dre 3k like andre and your girl call her cum face aye mike dean,6.0,2.4299065420560746
1,4,4.mp3,X Bitch (feat. Future),21 Savage,Savage Mode,28.09,03:00,03:26,,0.0,0.0,,0.0,0.0
2,5,5.mp3,No Heart,21 Savage,Savage Mode,84.23,00:41,02:03, hook young savage why you trappin so hard why these niggas cappin so hard why you got a 12 car garage why you pullin all these rappers cards cause these niggas pussy and im hard i turn that ****ing soft into some hard i grew up in the streets without no heart im praying to my glock and my card verse 1 i sit back and read like cat in the hat 21 savage the cat with the mac 21 savage not boyz n the hood but i pull up on you shoot your ass in the back stuart little heard these niggas some rats pockets full of cheese bitch i got racks im a real street nigga bitch i am not one of these niggas bangin on wax pussy niggas love sneak dissing til i pull up on em slap em out with the fire wet your mamas house wet your grandmas house keep shootin until somebody die so many shots the neighbor looked at the calendar thought it was fourth of july you was with your friends playing nintendo i was playin round with that fire seventh grade i got caught with a pistol sent me to pantherville eighth grade started playin football then i was like **** the field ninth grade i was knocking niggas out nigga like holyfield fast forward nigga 2016 and im screaming **** a deal bad bitch with me she so thick i dont even need a pill i listen to your raps thought you was hard you aint even street for real niggas love sneak dissing on twitter they dont want beef for real and all these niggas play like they tough till a nigga get killed till a nigga get spilled til your blood get spilled ima at your favorite rapper shoot him like im john dill i been with you since day one savage i aint even hating so whats up with all that instagram shit savage i was just playin yall pussy niggas fakin bitch i hang around them haitians pull up on you tie your kids up pistol whip you while your bitch naked come on man savage you know i always play your mixtape yeah nigga **** all that ask your bitch how my dick tastes hook young savage why you trappin so hard why these niggas cappin so hard why you got a 12 car garage why you pullin all these rappers cards cause these niggas pussy and im hard i turn that ****ing soft into some hard i grew up in the streets without no heart im praying to my glock and my card verse 2 so much dope that it broke the scale they say crack kills nigga my crack sells my brother in the kitchen and he rappin a bale louis v my bag and louis v on my belt chain swangin diamonds blangin hold up pistol swangin gang bangin hold up niggas actin like groupies they dont know us little do they know their bitches ****in on the tour bus hook young savage why you trappin so hard why these niggas cappin so hard why you got a 12 car garage why you pullin all these rappers cards cause these niggas pussy and im hard i turn that ****ing soft into some hard i grew up in the streets without no heart i grew up in the streets without no heart outro so much dope that it broke the scale they say crack kills nigga my crack sells my brother in the kitchen and he rappin a bale louis v my bag and louis v on my belt,8.202702702702704,2.6977777777777776, i sit back and read like cat in the hat 21 savage the cat with the mac 21 savage not boyz n the hood but i pull up on you shoot your ass in the back stuart little heard these niggas some rats pockets full of cheese bitch i got racks im a real street nigga bitch i am not one of these niggas bangin on wax pussy niggas love sneak dissing til i pull up on em slap em out with the fire wet your mamas house wet your grandmas house keep shootin until somebody die so many shots the neighbor looked at the calendar thought it was fourth of july you was with your friends playing nintendo i was playin round with that fire seventh grade i got caught with a pistol sent me to pantherville eighth grade started playin football then i was like **** the field ninth grade i was knocking niggas out nigga like holyfield fast forward nigga 2016 and im screaming **** a deal bad bitch with me she so thick i dont even need a pill i listen to your raps thought you was hard you aint even street for real niggas love sneak dissing on twitter they dont want beef for real and all these niggas play like they tough till a nigga get killed till a nigga get spilled til your blood get spilled ima at your favorite rapper shoot him like im john dill i been with you since day one savage i aint even hating so whats up with all that instagram shit savage i was just playin yall pussy niggas fakin bitch i hang around them haitians pull up on you tie your kids up pistol whip you while your bitch naked come on man savage you know i always play your mixtape yeah nigga **** all that ask your bitch how my dick tastes hook,9.666666666666666,3.7872491986228183
3,6,6.mp3,Red Opps,21 Savage,Red Opps,29.53,02:16,02:44, yeah yeah yeah i pull up roll the window down and pop pop pop pop pop i pull up roll the window down and pop pop pop pop pop i pull up roll the window down and pew pew pew i just bought a pistol it got 30 rounds in it pull up at yo momma house and put some rounds in it wet a ***** block and watch them *****s drown in it hunnid round drum gun a ***** down with it im on that slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t im on that slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t im on that slaughter gang *****t take a ***** ***** ***** yous a ***** cuz i ran off with ya *****t im a real right blood and these *****s counterfeit you dont pull up on the ave ***** boy you get dipped i bought a brand new drop and then i poured me up some drop young savage real street ***** yall aint on no block ***** keep your legs closed cuz all i want is top i pull up and pew pew pew yall gone call the cops 21 i just bought a pistol it got 30 rounds in it pull up at yo momma house and put some rounds in it wet a ***** block and watch them *****s drown in it hunnid round drum gun a ***** down with it im on that slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t im on that slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t two guns up i dont give a ***** im a big dog lil ***** you a pup pull up on ya spot walk up on it shoot it up yo ***** she on the molly yeah i got her booted up you said you was trappin but i heard thats a lie baking soda cold water cut the stove on scrape the side you can keep the skinny ***** cuz i like a fat ass and thighs ***** im young savage yo baby daddy know not to try i just bought a pistol it got 30 rounds in it pull up at yo momma house and put some rounds in it wet a ***** block and watch them *****s drown in it hunnid round drum gun a ***** down with it im on that slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t im on that slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t slaughter gang *****t murder gang *****t,8.60377358490566,2.746987951807229, im on that slaughter gang *****t murder gang *****t,10.0,0.3386386725364036
4,7,7.mp3,Girls Talk Boys,5 Seconds Of Summer,Ghostbusters (Original Motion Picture Soundtrack),29.11,02:30,02:57,,0.0,0.0,,0.0,0.0
5,8,8.mp3,PRBLMS,6LACK,FREE 6LACK,40.14,02:10,02:48,,0.0,0.0,,0.0,0.0
6,9,9.mp3,Timeless,A Boogie Wit Da Hoodie,TBA,23.09,01:57,02:18, bitch im really timeless i cannot waste no time bitch im really timeless i cannot leave my houses without diamonds all the faces on my watches jump out it change faces on the watches now they frownin i probably spent the 100 thousand on fly shit qp spent the 100 thousand on mileage bruce lee kick it with me i be stylin 2 seater bentley and its topless and shes topless naked bitch driver papers and fronto wrapped around sour i cannot waste no time bitch im really timeless i cannot waste no time bitch im really i cannot waste no time bitch im really grindin if i ever said i love you i was lyin i **** with you but you was always like a side bitch cause i can never put nothin over grindin i just left my baby girl a message i said i wont be comin home hah thats a dub bitch im on the road hah and i need 20 thousand for a show hah i aint walkin through your club no more hah but if lust hit me up ill go hah spinking thats the ****in bro hah i **** it up i **** it up some more we switch the flow up if you a busta ima cut you off bitch im goin up gettin money what the **** you thought nigga hold up it get ugly im a ****in boss hah good now but i started off just a young nigga runnin round and the butter soft try to run down on me nigga you should knock it off i aint get lucky motha****a took a couple loses yeah what u sayin you aint really on shit got zippers on my jeans like im billy on this i aint sippin no more lean ive been trippin off it ive been pissin codeine and i aint wit the shits woah rockstar lifestyle might not make it wake up faded still end up drinking makeup on my tshirt i hate it rip tshirts i hate it fall asleep wake up still im faded bubba prolly lost 50 k in vegas pour up purple and then make it turn pinkish said that i was done with it but im still drinkin i cant waste no time i cant waste no time with it i cant waste no time bitch im really timeless i cant waste no time bitch im really timeless,8.14,2.608974358974359, ive been pissin codeine and i aint wit the shits woah rockstar lifestyle might not make it wake up faded still end up drinking makeup on my tshirt i hate it rip tshirts i hate it fall asleep wake up still im faded bubba prolly lost 50 k in vegas pour up purple and then make it turn pinkish said that i was done with it but im still drinkin i cant waste no time i cant waste no time with it,8.3,3.5946297098310955
7,10,10.mp3,Drowning,A Boogie Wit Da Hoodie,Drowning,32.1,02:43,03:13, im drownin im drownin im drownin im drownin wrist so icy wonder why she like me bitch im drownin in water i just bought a cuban dipped it in a fountain every where that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin i just bought a cuban ring and dipped it in a fountain chain so heavy i feel like im holdin up a mountain everywhere that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin nan im with all my niggas i dont go nowhere without em if they dont let us in they might throw shots at the bouncer actavis medicine got it straight from out the doctors im with rj but i call him wayne cause hes a shotta pick up the ladder put it in the gun make the 9 stretch niggas with attitude but we come straight out of highbridge im gon make her panties wet when she see the way i flex im gon win a grammy move my family out the projects we went from chillin in the projects to makin projects we was tryna get to the top and they tried to stop us i talk for myself bitch i dont need no ****ing voucher she looked at my wrist and she looked at a hundred thousand nan wrist so icy wonder why she like me bitch im drownin in water i just bought a cuban dipped it in a fountain every where that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin i just bought a cuban ring and dipped it in a fountain chain so heavy i feel like im holdin up a mountain everywhere that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin nan just bought a brand new chain from avianne nigga with attitude but i aint from compton lil kodak bitch im polod down like carlton sniper gang i put a nigga on a carton im the shit im fartin i dont know how to potty pull up in a rari im in the yo like gotti a boogie im goin scottie nigga drop my deposit i aint jamaican bitch im haitian but i got them shottas harley davidson every day im ridin with the chopper they hatin i know they dont wanna see a nigga prosper i aint doing trims im in the cut like im a barber she call me daddy but i aint her mother****ing father nan wrist so icy wonder why she like me bitch im drownin in water i just bought a cuban dipped it in a fountain every where that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin i just bought a cuban ring and dipped it in a fountain chain so heavy i feel like im holdin up a mountain everywhere that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin bitch im drownin bitch im drownin im drownin drownin im drownin,8.328358208955224,2.5953488372093023, nan wrist so icy wonder why she like me bitch im drownin in water i just bought a cuban dipped it in a fountain every where that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin i just bought a cuban ring and dipped it in a fountain chain so heavy i feel like im holdin up a mountain everywhere that i go its a light show im surrounded bust down bust down bust down bust down bust down bitch im drownin bitch im drownin,8.166666666666666,3.0529595015576323
8,11,11.mp3,My Shit,A Boogie Wit Da Hoodie,My Shit,15.08,01:37,01:50,,0.0,0.0,,0.0,0.0
9,12,12.mp3,We The People....,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,27.1,02:27,02:52, we dont believe you cause we the people ill still be in the rear yo we dont need you you aint a killer nor good young nigga move when we get hungry we eat the same ****ing food the ramen noodle your simple voodoo is so maniacal reliable to pull a juju the irony is that this bad bitch in my lap she dont love me she make bunnies she gon study that she gon give it to me aint gon tell me run it back she gon take the brain or weather plain she spit on that the doors are signed with dont try to rhyme with vh1 has a show that you could waste your time with guilty pleasures take the edge off reality and for a salary id probably do that shit sporadically the og gucci wasnt spittin with iguanas the irs piranha see a nigga gettin commas niggas in the hood living in a fishbowl gentrify here now its not a shit hole trendsetter i know my shits cold i aint said it yet because i aint so bold hey yo  qtip  all you black folks you must go all you mexicans you must go and all you poor folks you must go muslims and gays boy we hate your ways so all you bad folks you must go  phife dawg  the fog in the smog of new media that logs false narratives of guys that came up against the odds we not just nigga rappers with the bars its kids with that be cosmic with the stars you bastards overlooking street art better yet street smarts but you keep us off the charts so mother**** your numbers and your statisticians **** you know about true competition just like the  picture that talking about he hittin the only ones whos hitting are the ones that currently spittin we got your missie smitten rubbing on a little kitten dreaming of a world thats equal for women with no division boy i tell you thats vision like tony romo when he hitting witten to try and be the best in they division shaheed muhammad cut it with precision who can come back years later still hit the shot still yall tryna move me off the ****ing block babylon bloodclot two pon yo   qtip  all you black folks you must go all you mexicans you must go and all you poor folks you must go muslims and gays boy we hate your ways so all you bad folks you must go,7.696428571428571,2.4213483146067416,  qtip ,4.0,0.14760147601476015
